number_of_trees,mtry,min_observations,terminal_nodes,rmse
10,20,5,2,991.7369648450358
10,20,5,5,783.0877752179854
10,20,5,10,781.9628613588332
10,20,5,15,773.1868644796328
10,20,10,1,1480.4177756426704
10,20,10,2,970.7662769868165
10,20,10,5,888.0720087375893
10,20,10,10,921.3675438872884
10,20,10,15,907.5419043223071
10,20,15,1,1483.993591923923
10,20,15,2,967.0609578441859
10,20,15,5,991.3269497518951
10,20,15,10,985.872379705737
10,20,15,15,992.1578576244563
10,21,1,1,1482.6425162903026
10,21,1,2,980.4316935052441
10,21,1,5,786.5099464098936
10,21,1,10,764.8683127190504
10,21,1,15,772.355251580083
10,21,2,1,1478.557919035363
10,21,2,2,989.2254877138103
10,21,2,5,778.2167393976182
10,21,2,10,776.4199702010267
10,21,2,15,770.101763672936
10,21,5,1,1485.2018823315177
10,21,5,2,986.0475234126334
10,21,5,5,780.3131630768238
10,21,5,10,782.7724037799146
10,21,5,15,784.6838027786908
10,21,10,1,1487.9798068721861
10,21,10,2,994.5590433399973
10,21,10,5,922.9347576026282
10,21,10,10,913.5673870881742
10,21,10,15,915.6420079032503
10,21,15,1,1481.2665955377204
10,21,15,2,990.658443057262
10,21,15,5,986.431777624757
10,21,15,10,995.4840356114198
10,21,15,15,987.5727818405882
10,22,1,1,1475.4919495688364
10,22,1,2,972.3126742248064
10,22,1,5,777.8605172202559
10,22,1,10,766.7439094577372
10,22,1,15,767.7573105689063
10,22,2,1,1469.2615845663697
10,22,2,2,1001.1546171200309
10,22,2,5,779.8597188139431
10,22,2,10,776.4077222098832
10,22,2,15,758.653965082896
10,22,5,1,1475.5907898550556
10,22,5,2,971.5780181565316
10,22,5,5,789.7984194175494
10,22,5,10,771.8770689829669
10,22,5,15,780.9754258081352
10,22,10,1,1483.7095786218317
10,22,10,2,986.2737502423528
10,22,10,5,925.6327936036114
10,22,10,10,924.9608315016212
10,22,10,15,912.4916053080507
10,22,15,1,1468.8028946503787
10,22,15,2,976.4599479972374
10,22,15,5,976.0691700900849
10,22,15,10,985.6459719905865
10,22,15,15,980.697977687149
10,23,1,1,1480.0768365516165
10,23,1,2,979.9329609834352
10,23,1,5,787.9363604118711
10,23,1,10,771.1065962221227
10,23,1,15,770.8266699477041
10,23,2,1,1478.3113206194635
10,23,2,2,990.547900474626
10,23,2,5,776.0744719694187
10,23,2,10,769.5381047168512
10,23,2,15,750.2699982196409
10,23,5,1,1483.6760821283012
10,23,5,2,994.1439244406517
10,23,5,5,775.0221071995953
10,23,5,10,779.4352239500157
10,23,5,15,784.9930455548733
10,23,10,1,1474.8396685112543
10,23,10,2,970.7362035264754
10,23,10,5,899.0000723681229
10,23,10,10,912.968898796964
10,23,10,15,902.3450764902396
10,23,15,1,1473.9722927542266
10,23,15,2,983.1508868357673
10,23,15,5,977.8583097106725
10,23,15,10,982.6168584986689
10,23,15,15,979.3570267740756
10,24,1,1,1476.6973732635265
10,24,1,2,990.4427107572808
10,24,1,5,790.2922577092406
10,24,1,10,770.6580237034186
10,24,1,15,776.07558525099
10,24,2,1,1473.5497327897026
10,24,2,2,987.0496334358724
10,24,2,5,780.9082376978329
10,24,2,10,775.6377721032165
10,24,2,15,774.7603704779734
10,24,5,1,1479.464289874046
10,24,5,2,980.9422200561966
10,24,5,5,781.2133964464887
10,24,5,10,772.8012305562615
10,24,5,15,780.7760528091194
10,24,10,1,1487.219610677713
10,24,10,2,984.370548382705
10,24,10,5,908.3996783113943
10,24,10,10,912.7018297141102
10,24,10,15,902.6915280870184
10,24,15,1,1477.0217927306244
10,24,15,2,988.0089870640398
10,24,15,5,996.5882612851103
10,24,15,10,1005.216620663799
10,24,15,15,981.2115276725209
10,25,1,1,1479.1070548266798
10,25,1,2,974.9722710998392
10,25,1,5,780.9719864133502
10,25,1,10,771.223766168247
10,25,1,15,779.9946896759404
10,25,2,1,1479.3125458104332
10,25,2,2,984.9695543945644
10,25,2,5,775.920440743826
10,25,2,10,761.9653874920879
10,25,2,15,763.1662573455624
10,25,5,1,1486.9479515756211
10,25,5,2,985.0412431942225
10,25,5,5,771.2784097440508
10,25,5,10,778.3614295241932
10,25,5,15,780.8708111019389
10,25,10,1,1474.6346812418433
10,25,10,2,985.4791346407249
10,25,10,5,912.028973200822
10,25,10,10,913.4491171895738
10,25,10,15,904.9516094743005
10,25,15,1,1481.4954391970543
10,25,15,2,987.0940214703586
10,25,15,5,991.0146359827348
10,25,15,10,968.0149639017966
10,25,15,15,989.482649787172
10,26,1,1,1474.4176550589975
10,26,1,2,980.877466449201
10,26,1,5,786.3025637372543
10,26,1,10,770.4140856500143
10,26,1,15,763.4661238199549
10,26,2,1,1477.7306182040431
10,26,2,2,979.7671996094411
10,26,2,5,783.2049950319827
10,26,2,10,763.5204086324653
10,26,2,15,758.5484876850875
10,26,5,1,1474.8927760814786
10,26,5,2,992.255358399737
10,26,5,5,793.8135392180425
10,26,5,10,788.6215825690163
10,26,5,15,777.465881787703
10,26,10,1,1474.0020497022035
10,26,10,2,977.6633368032145
10,26,10,5,904.2961975374858
10,26,10,10,905.9158793633262
10,26,10,15,915.9819006199496
10,26,15,1,1477.122786046387
10,26,15,2,969.74992046919715
10,26,15,5,970.2271205344019
10,26,15,10,967.9760996174226
10,26,15,15,990.7273792682341
10,27,1,1,1485.122245336181
10,27,1,2,976.8222218525873
10,27,1,5,772.9241364116957
10,27,1,10,771.4041007712807
10,27,1,15,760.8428422760292
10,27,2,1,1483.6920092832356
10,27,2,2,976.1706253595884
10,27,2,5,785.9849182397007
10,27,2,10,758.9558693192777
10,27,2,15,766.0614057229137
10,27,5,1,1482.0667281970582
10,27,5,2,987.7404069679197
10,27,5,5,784.9067230529812
10,27,5,10,781.5376426485628
10,27,5,15,787.5334230335374
10,27,10,1,1482.4316126095039
10,27,10,2,983.6529821663285
10,27,10,5,920.5161225244918
10,27,10,10,913.0458417285198
10,27,10,15,907.0455377343317
10,27,15,1,1485.2224292389792
10,27,15,2,980.7693585797366
10,27,15,5,975.2142319523477
10,27,15,10,983.2491804722875
10,27,15,15,979.8636205364899
10,28,1,1,1483.7493156913001
10,28,1,2,986.7450220722503
10,28,1,5,777.701981037851
10,28,1,10,780.4098575816024
10,28,1,15,773.3587475180368
10,28,2,1,1477.9457979421704
10,28,2,2,989.6946503140111
10,28,2,5,789.9545859062571
10,28,2,10,772.1934297751608
10,28,2,15,764.9446619491504
10,28,5,1,1481.1893118963783
10,28,5,2,958.976334935546
10,28,5,5,792.90529986328
10,28,5,10,787.9951141771816
10,28,5,15,775.8886806265575
10,28,10,1,1480.3088429532597
10,28,10,2,982.4264104124129
10,28,10,5,907.2785547873061
10,28,10,10,911.2160187499695
10,28,10,15,911.2720237953276
10,28,15,1,1480.0800301646332
10,28,15,2,989.0594406386499
10,28,15,5,990.5975477555622
10,28,15,10,983.0991390358581
10,28,15,15,986.6798984141685
10,29,1,1,1482.6607288302876
10,29,1,2,984.8820853059725
10,29,1,5,779.8343170675015
10,29,1,10,776.5002547488635
10,29,1,15,765.4157369551966
10,29,2,1,1467.4177092535808
10,29,2,2,977.0482804730229
10,29,2,5,783.8737947134329
10,29,2,10,770.7533900839582
10,29,2,15,763.5912910605385
10,29,5,1,1475.8719237655805
10,29,5,2,980.4932549381595
10,29,5,5,775.9237333535073
10,29,5,10,780.3551590191124
10,29,5,15,772.2561915591646
10,29,10,1,1483.6592520829931
10,29,10,2,988.472086506092
10,29,10,5,898.7267425785028
10,29,10,10,906.560453209872
10,29,10,15,903.1491943561979
10,29,15,1,1467.7537067030742
10,29,15,2,982.2027724918635
10,29,15,5,987.0708443443273
10,29,15,10,981.9200327830989
10,29,15,15,1000.6870544845935
10,30,1,1,1480.0580025727045
10,30,1,2,977.4804447524361
10,30,1,5,775.1522567965135
10,30,1,10,762.87268614903
10,30,1,15,771.310412403895
10,30,2,1,1478.84767720832
10,30,2,2,962.2831764877893
10,30,2,5,784.1004432587497
10,30,2,10,759.3684202456398
10,30,2,15,771.6018554705961
10,30,5,1,1484.6341660346359
10,30,5,2,981.2306016239969
10,30,5,5,787.9981151513155
10,30,5,10,783.5464051993144
10,30,5,15,782.9052100874525
10,30,10,1,1479.9875821286562
10,30,10,2,976.1596960180618
10,30,10,5,922.2914267433988
10,30,10,10,918.5740572647073
10,30,10,15,917.8919265792899
10,30,15,1,1483.1194838156346
10,30,15,2,984.7417411476317
10,30,15,5,986.370649248183
10,30,15,10,989.8857431842434
10,30,15,15,985.9125188104623
10,31,1,1,1475.8722503193394
10,31,1,2,983.64541258078
10,31,1,5,776.0819421938706
10,31,1,10,773.4347344927688
10,31,1,15,768.4977903967367
10,31,2,1,1479.1113918367143
10,31,2,2,988.9022568137141
10,31,2,5,779.8950401917109
10,31,2,10,766.0706266578984
10,31,2,15,777.120864109953
10,31,5,1,1485.7167954811341
10,31,5,2,993.9788671232398
10,31,5,5,785.9407783611067
10,31,5,10,779.687841887198
10,31,5,15,785.1117382038789
10,31,10,1,1480.647217394187
10,31,10,2,995.1614416419723
10,31,10,5,897.260048660803
10,31,10,10,923.6769562929966
10,31,10,15,921.5062071597483
10,31,15,1,1481.0477046172864
10,31,15,2,981.5152634747963
10,31,15,5,972.030270422149
10,31,15,10,982.3908651994795
10,31,15,15,985.8529408173943
10,32,1,1,1476.8633723561006
10,32,1,2,986.6025958008303
10,32,1,5,779.3020808413072
10,32,1,10,764.7099128510195
10,32,1,15,764.6516917198313
10,32,2,1,1481.3607677057244
10,32,2,2,988.5366582278402
10,32,2,5,768.2993453328371
10,32,2,10,763.9339690456992
10,32,2,15,763.7194396656187
10,32,5,1,1477.4569502203706
10,32,5,2,973.1795970789395
10,32,5,5,769.439124165522
10,32,5,10,788.3293809402717
10,32,5,15,782.154912484221
10,32,10,1,1476.8686826971855
10,32,10,2,981.5310649161355
10,32,10,5,918.8484710337608
10,32,10,10,897.2625749749226
10,32,10,15,911.0067109512639
10,32,15,1,1483.85285080005
10,32,15,2,965.1746900830123
10,32,15,5,974.0084515170946
10,32,15,10,983.1198930873703
10,32,15,15,998.7062479190399
10,33,1,1,1476.3400367611794
10,33,1,2,986.943987612705
10,33,1,5,785.1008558483735
10,33,1,10,782.9514726069572
10,33,1,15,780.0581896388671
10,33,2,1,1479.8084354969108
10,33,2,2,985.0890385703759
10,33,2,5,784.0643059835522
10,33,2,10,764.0447048508064
10,33,2,15,758.3769468192143
10,33,5,1,1476.9059373587186
10,33,5,2,982.0553051504545
10,33,5,5,789.4939964858352
10,33,5,10,779.8273970602997
10,33,5,15,782.6476912373763
10,33,10,1,1485.5921601314728
10,33,10,2,989.8299484530379
10,33,10,5,903.3785189857291
10,33,10,10,917.7600260140197
10,33,10,15,911.938034646368
10,33,15,1,1477.962395645178
10,33,15,2,1001.9110548615873
10,33,15,5,997.0820604193406
10,33,15,10,965.0070984630055
10,33,15,15,983.1296695862975
50,1,1,1,1481.953976893657
50,1,1,2,1247.5806066801283
50,1,1,5,1093.7636411576973
50,1,1,10,1040.637320187995
50,1,1,15,1041.8682126823082
50,1,2,1,1485.124464262986
50,1,2,2,1278.302269336091
50,1,2,5,1077.706054638643
50,1,2,10,1035.8891649594268
50,1,2,15,1035.8649721049167
50,1,5,1,1482.790930763096
50,1,5,2,1251.7250543339526
50,1,5,5,1097.5779112863092
50,1,5,10,1056.640746961808
50,1,5,15,1090.181627907971
50,1,10,1,1482.3494253638464
50,1,10,2,1247.9945715240237
50,1,10,5,1159.1157735735712
50,1,10,10,1149.8100798998828
50,1,10,15,1144.870745721398
50,1,15,1,1483.1741407017862
50,1,15,2,1241.2076765391344
50,1,15,5,1234.85158257978
50,1,15,10,1204.635826937289
50,1,15,15,1221.525252417865
50,2,1,1,1481.8322156845836
50,2,1,2,1138.287570090761
50,2,1,5,986.7207179505111
50,2,1,10,931.3784141005439
50,2,1,15,928.6017423185862
50,2,2,1,1481.5558529622533
50,2,2,2,1134.2132484795047
