Station Display Name,EVSE Latitude and Longitude,Port 1: Voltage (V),Port 1: Current (A),Port 1: Connector Type,Port 2: Voltage (V),Port 2: Current (A),Port 2: Connector Type,Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,County,Country,No. of Ports,Reservation,Customer Category,Customer Subcategory
PRESIDIUM / VIOLET,"(30.191582, -97.775626)",240V,30A,J1772,240V,30A,J1772,Presidium Group,409 E William Cannon Dr,,,Austin,Texas,78745,Travis County,United States,2,Disabled,Multifamily,Apartment
PRESIDIUM / VUE,"(30.333857, -97.691302)",240V,30A,J1772,240V,30A,J1772,Presidium Group,7607 Blessing Ave,,,Austin,Texas,78752,Travis County,United States,2,Disabled,Multifamily,Apartment
RAINEY STREET / MILLENNIUM 01,"(30.260803, -97.737765)",240V,30A,J1772,240V,30A,J1772,THE MILLENNIUM RAINEY,91 Rainey St,,L2,Austin,Texas,78701,,United States,2,Disabled,Multifamily,Apartment
RAINEY STREET / MILLENNIUM 02,"(30.260538, -97.738296)",240V,30A,J1772,240V,30A,J1772,THE MILLENNIUM RAINEY,92 Rainey St,,3,Austin,Texas,78701,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / CURRENT MAIN,"(30.231758, -97.729473)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,2057-2105 Willow Creek Dr,,,Austin,Texas,78741,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / MESH MAIN,"(30.240977, -97.726259)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,2100-2134 Elmont Dr,,,Austin,Texas,78741,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / THE CONNECTION,"(30.227456, -97.726096)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,4404 E Oltorf St,,,Austin,Texas,78741,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / TIMBERCREEK 1,"(30.256475, -97.751759)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,614 S 1st St,,,Austin,Texas,78704,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / TRIO MAIN,"(30.228786, -97.726326)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,2413-2433 S Pleasant Valley Rd,,,Austin,Texas,78741,Travis County,United States,2,Disabled,Multifamily,Apartment
ROSCOE PROPERTI / VOLUME MAIN,"(30.28544, -97.715107)",240V,30A,J1772,240V,30A,J1772,Roscoe Properties,1715 E 32nd St,,,Austin,Texas,78722,Travis County,United States,2,Disabled,Multifamily,Apartment
RPP GARAGE / GARAGE 2,"(30.429442, -97.755212)",240V,30A,J1772,240V,30A,J1772,Research Park Plaza,12455 Research Park Loop,,,Austin,Texas,78727,Travis County,United States,2,Disabled,Workplace,General
RPP GARAGE / GARAGE GW,"(30.429363, -97.755248)",240V,30A,J1772,240V,30A,J1772,Research Park Plaza,12455 Research Park Loop,,,Austin,Texas,78727,Travis County,United States,2,Disabled,Workplace,General
RPP GARAGE / ISLAND 2,"(30.427967, -97.754411)",240V,30A,J1772,--,--,--,Research Park Plaza,12301 Research Blvd,,,Austin,Texas,78759,Travis County,United States,1,Disabled,Workplace,General
RPP GARAGE / ISLAND GW,"(30.428017, -97.754379)",240V,30A,J1772,240V,30A,J1772,Research Park Plaza,12301 Research Blvd,,,Austin,Texas,78759,,United States,2,Disabled,Workplace,General
SLEEP INN / SLEEP INN 1,"(30.329889, -97.661712)",240V,30A,J1772,240V,30A,J1772,Sleep Inn & Suites - Austin Northeast,8410 E Hwy 290,,,Austin,Texas,78754,Travis County,United States,2,Disabled,Hospitality,Hotel / Resort
SOLARWINDS / SOLARWINDS #1,"(30.251073, -97.86319)",240V,30A,J1772,240V,30A,J1772,"HPI Real Estate Management, Inc",7171 Southwest Parkway,P400 Garage,2nd,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,High-Tech
SOLARWINDS / SOLARWINDS #2,"(30.250799, -97.862755)",240V,30A,J1772,240V,30A,J1772,"HPI Real Estate Management, Inc",7171 Southwest Pkwy,P400 Garage,,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,High-Tech
SPRINGS AT TR / CLUBHOUSE,"(30.394787, -97.653242)",240V,30A,J1772,--,--,--,Springs at Tech Ridge,1304-1444 Farm to Market 734,,,Austin,Texas,78753,Travis County,United States,1,Disabled,Multifamily,Apartment
STATION 1 / #1,"(30.304182, -97.828161)",240V,30A,J1772,240V,30A,J1772,CapRidge Partners,115 Wild Basin Rd,,,Austin,Texas,78746,Travis County,United States,2,Disabled,Workplace,General
STATION 1 / @ THE DISTRICT,"(30.22894, -97.719683)",240V,30A,J1772,240V,30A,J1772,Hawthorne at the District,2303 Cromwell Cir,,,Austin,Texas,78741,Travis County,United States,2,Disabled,Multifamily,Apartment
STATION 1 / PLAZA 1,"(30.347873, -97.800826)",240V,30A,J1772,240V,30A,J1772,"Plaza on the Lake Acquisition, LLC",5001 Plaza on the Lake,,,Austin,Texas,78746,Travis County,United States,2,Disabled,Workplace,General
STATION1-PP / PELOTON GARAGE,"(30.386783, -97.768747)",240V,30A,J1772,240V,30A,J1772,Peloton Real Estate Partners-Austin,8310 N Capital of Texas Hwy,,1,Austin,Texas,78731,Travis County,United States,2,Disabled,Workplace,General
STEINER RANCH / EV CHARGER #1,"(30.383357, -97.873053)",240V,30A,J1772,240V,30A,J1772,Bell Steiner Ranch Apartments,4800 Steiner Ranch Blvd,,,Austin,Texas,78732,Travis County,United States,2,Disabled,Multifamily,Apartment
SUSTAINABLEFOOD / SUSTAINABLEFOOD,"(30.278611, -97.710364)",240V,30A,J1772,--,--,--,Sustainable Food Center,2921 E 17th St,,,Austin,Texas,78702,Travis County,United States,1,Disabled,Workplace,General
THE GROVE / MAIN STATION 1,"(30.236473, -97.782607)",240V,30A,J1772,240V,30A,J1772,The Grove,3707 Manchaca Rd,,,Austin,Texas,78704,Travis County,United States,2,Disabled,Multifamily,Apartment
THE MEDVE GROUP / ARTS S AUSTIN,"(30.221064, -97.770408)",240V,30A,J1772,240V,30A,J1772,Daniel Medve Properties,400 W St Elmo Rd,,,Austin,Texas,78745,Travis County,United States,2,Disabled,Multifamily,Apartment
THE MEDVE GROUP / BARTON HILLS,"(30.261911, -97.773946)",240V,30A,J1772,240V,30A,J1772,Daniel Medve Properties,1244-1298 Barton Hills Dr,,,Austin,Texas,78704,Travis County,United States,2,Disabled,Multifamily,Apartment
THE MEDVE GROUP / TURTLE CREEK,"(30.204478, -97.783736)",240V,30A,J1772,240V,30A,J1772,Daniel Medve Properties,5946 S 1st St,,,Austin,Texas,78745,Travis County,United States,2,Disabled,Multifamily,Apartment
THE PRESERVE / MAIN GATEWAY 1,"(30.246834, -97.846018)",240V,30A,J1772,240V,30A,J1772,The Preserve at Travis Creek,5604 Southwest Pkwy,,,Austin,Texas,78735,Travis County,United States,2,Disabled,Multifamily,Apartment
TIG REAL ESTATE / PIE-STATION 1,"(30.265768, -97.779681)",120V,16A,NEMA 5-20R,240V,30A,J1772,"TIG REAL ESTATE SERVICES, INC.",Frontage Rd,,,Austin,Texas,78746,Travis County,United States,2,Disabled,Workplace,General
W1 / W1,"(30.314723, -97.756396)",240V,30A,J1772,240V,30A,J1772,Westminster,4100 Jackson Ave,,,Austin,Texas,78731,Travis County,United States,2,Disabled,Workplace,General
WALLERCREEKSIDE / CREEKSIDE1,"(30.315229, -97.724395)",240V,30A,J1772,--,--,--,PIE-M- 51st Living LTD,102-104 E 50th St,,,Austin,Texas,78751,Travis County,United States,1,Disabled,Multifamily,Apartment
WHITLEY MAIN / PIE-M WHITLEY,"(30.265199, -97.742194)",240V,30A,J1772,240V,30A,J1772,Whitley,301 Brazos St,,,Austin,Texas,78701,Travis County,United States,2,Disabled,Multifamily,Apartment
WORKPLACE / PIE-P SUST FOOD,"(30.278064, -97.710187)",120V,16A,NEMA 5-20R,240V,30A,J1772,AUSTIN ENERGY,"2921 E 17th St, Bldg. C",,,Austin,Texas,78702,Travis County,United States,2,Disabled,Workplace,Commercial
YETI RAMBLERS / EVSE #1,"(30.256412, -97.871799)",240V,30A,J1772,240V,30A,J1772,Yeti Coolers,7601 Southwest Pkwy,,B1,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,General
YETI RAMBLERS / EVSE #2,"(30.255806, -97.872517)",240V,30A,J1772,240V,30A,J1772,Yeti Coolers,7601 Southwest Pkwy,,B1 ml,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,General
YETI RAMBLERS / EVSE #3,"(30.25183, -97.876086)",240V,30A,J1772,240V,30A,J1772,Yeti Coolers,7601 Southwest Pkwy,,,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,General
YETI RAMBLERS / EVSE4,"(30.251792, -97.876256)",240V,30A,J1772,240V,30A,J1772,Yeti Coolers,7601 Southwest Pkwy,,B2,Austin,Texas,78735,Travis County,United States,2,Disabled,Workplace,General
