number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
500,53,53,0.05,5,2,473.7585495
500,59,59,0.05,5,3,501.8974563
500,52,52,0.05,5,5,502.0462135
500,73,73,0.05,5,8,467.9089083
500,87,87,0.05,5,10,466.0720397
500,107,107,0.05,20,2,441.5360077
500,99,99,0.05,20,3,583.8893127
500,72,72,0.05,20,5,498.1973496
500,56,56,0.05,20,8,447.9887055
500,94,94,0.05,20,10,466.7020645
500,88,88,0.05,100,2,459.5048584
500,120,120,0.05,100,3,486.70551770000003
500,114,114,0.05,100,5,493.3419342
500,86,86,0.05,100,8,490.5731383
500,56,56,0.05,100,10,478.52509
500,51,51,0.1,1,2,503.5751038
500,56,56,0.1,1,3,404.268866
500,29,29,0.1,1,5,493.9240203
500,46,46,0.1,1,8,431.30080430000004
500,27,27,0.1,1,10,483.43311869999997
500,52,52,0.1,5,2,452.5499063
500,39,39,0.1,5,3,477.18072060000003
500,28,28,0.1,5,5,488.4902772
500,42,42,0.1,5,8,490.8036346
500,33,33,0.1,5,10,496.1218032
500,61,61,0.1,20,2,426.0156349
500,24,24,0.1,20,3,517.5264428
500,39,39,0.1,20,5,479.3082184
500,55,55,0.1,20,8,486.7574626
500,28,28,0.1,20,10,416.98885340000004
500,62,62,0.1,100,2,389.9528917
500,28,28,0.1,100,3,438.6998879
500,36,36,0.1,100,5,519.0155487
500,57,57,0.1,100,8,477.02776489999997
500,28,28,0.1,100,10,461.6489724
1e3,1000,1e3,0.001,1,2,818.5292603
1e3,1000,1e3,0.001,1,3,720.4728194
1e3,1000,1e3,0.001,1,5,737.2333221
1e3,1000,1e3,0.001,1,8,769.1838828
1e3,1000,1e3,0.001,1,10,769.171289
1e3,1000,1e3,0.001,5,2,872.4898729
1e3,1000,1e3,0.001,5,3,696.6942794
1e3,1000,1e3,0.001,5,5,826.2353758
1e3,1000,1e3,0.001,5,8,863.133963
1e3,1000,1e3,0.001,5,10,774.7203673
1e3,1000,1e3,0.001,20,2,801.7783494
1e3,1000,1e3,0.001,20,3,867.5391999
1e3,1000,1e3,0.001,20,5,781.4380385
1e3,1000,1e3,0.001,20,8,805.7544478
1e3,1000,1e3,0.001,20,10,844.8059327
1e3,1000,1e3,0.001,100,2,847.6712967999999
1e3,1000,1e3,0.001,100,3,722.1388335
1e3,1000,1e3,0.001,100,5,675.902986
1e3,1000,1e3,0.001,100,8,830.3508025
1e3,1000,1e3,0.001,100,10,863.5139495
1e3,1000,1e3,0.003,1,2,445.7520888
1e3,994,994,0.003,1,3,551.5809303
1e3,1000,1e3,0.003,1,5,445.6659927
1e3,1000,1e3,0.003,1,8,519.7329529
1e3,1000,1e3,0.003,1,10,509.8365203
1e3,1000,1e3,0.003,5,2,424.8837889
1e3,1000,1e3,0.003,5,3,459.4089326
1e3,1000,1e3,0.003,5,5,504.1463744
1e3,1000,1e3,0.003,5,8,520.0747787
1e3,988,988,0.003,5,10,521.2905609
1e3,927,927,0.003,20,2,511.7398621
1e3,1000,1e3,0.003,20,3,502.5780839
1e3,947,947,0.003,20,5,488.9714095
1e3,1000,1e3,0.003,20,8,468.2498673
1e3,1000,1e3,0.003,20,10,526.8054016
1e3,1000,1e3,0.003,100,2,484.4899322
1e3,1000,1e3,0.003,100,3,459.8655486
1e3,945,945,0.003,100,5,531.2100340000001
1e3,1000,1e3,0.003,100,8,488.28653560000004
1e3,897,897,0.003,100,10,465.74813140000003
1e3,769,769,0.005,1,2,465.6547165
1e3,529,529,0.005,1,3,504.213237
1e3,1000,1e3,0.005,1,5,543.8342865
1e3,565,565,0.005,1,8,418.898768
1e3,564,564,0.005,1,10,474.3454971
1e3,554,554,0.005,5,2,449.0373153
1e3,564,564,0.005,5,3,434.0501846
1e3,1000,1e3,0.005,5,5,532.4310455
1e3,553,553,0.005,5,8,457.52602459999997
1e3,871,871,0.005,5,10,481.72147
1e3,697,697,0.005,20,2,520.7352769
1e3,666,666,0.005,20,3,471.6024873
1e3,584,584,0.005,20,5,553.9718233
1e3,590,590,0.005,20,8,487.2236268
1e3,600,600,0.005,20,10,490.3943132
1e3,753,753,0.005,100,2,467.8971313
1e3,650,650,0.005,100,3,458.9717545
1e3,721,721,0.005,100,5,521.5314301
1e3,723,723,0.005,100,8,448.30585049999996
1e3,720,720,0.005,100,10,404.82492990000003
1e3,416,416,0.01,1,2,515.3117295000001
1e3,590,590,0.01,1,3,468.4291902
1e3,260,260,0.01,1,5,464.75816810000003
1e3,331,331,0.01,1,8,473.2828766
1e3,332,332,0.01,1,10,430.8624832
1e3,501,501,0.01,5,2,504.0067337
1e3,281,281,0.01,5,3,483.1005128
1e3,587,587,0.01,5,5,534.0207245
1e3,598,598,0.01,5,8,556.195935
1e3,326,326,0.01,5,10,472.0991608
1e3,476,476,0.01,20,2,470.4196014
1e3,327,327,0.01,20,3,446.1330783
1e3,346,346,0.01,20,5,514.002301
1e3,389,389,0.01,20,8,487.6256836
1e3,393,393,0.01,20,10,479.155089
1e3,467,467,0.01,100,2,419.324939
1e3,292,292,0.01,100,3,445.8666504
1e3,525,525,0.01,100,5,462.1873605
1e3,270,270,0.01,100,8,478.5209702
1e3,280,280,0.01,100,10,436.6525509
1e3,139,139,0.03,1,2,484.155352
1e3,128,128,0.03,1,3,490.70914319999997
1e3,299,299,0.03,1,5,457.77052
1e3,116,116,0.03,1,8,447.1202773
1e3,123,123,0.03,1,10,511.3858993
1e3,92,92,0.03,5,2,498.2531525
1e3,136,136,0.03,5,3,506.6055031
1e3,106,106,0.03,5,5,432.3318131
1e3,95,95,0.03,5,8,482.1990098
1e3,91,91,0.03,5,10,499.3042999
1e3,133,133,0.03,20,2,478.225444
1e3,103,103,0.03,20,3,426.6926926
1e3,86,86,0.03,20,5,472.8777344
1e3,118,118,0.03,20,8,481.6639557
1e3,116,116,0.03,20,10,432.9122419
1e3,92,92,0.03,100,2,454.67948010000003
1e3,195,195,0.03,100,3,562.1414306
1e3,93,93,0.03,100,5,504.0994209
1e3,118,118,0.03,100,8,463.9648498
1e3,98,98,0.03,100,10,464.727092
1e3,100,100,0.05,1,2,444.1507233
1e3,116,116,0.05,1,3,508.501262
1e3,72,72,0.05,1,5,542.3987624
1e3,108,108,0.05,1,8,456.4129058
1e3,79,79,0.05,1,10,467.4341918
1e3,99,99,0.05,5,2,446.76150210000003
1e3,84,84,0.05,5,3,460.2419555
1e3,72,72,0.05,5,5,471.2582382
1e3,72,72,0.05,5,8,495.5795624
1e3,101,101,0.05,5,10,474.6614121
1e3,72,72,0.05,20,2,503.1397385
1e3,62,62,0.05,20,3,407.1858476
1e3,83,83,0.05,20,5,452.0496095
1e3,104,104,0.05,20,8,498.7627379
1e3,115,115,0.05,20,10,449.8911531
1e3,74,74,0.05,100,2,494.25382160000004
1e3,105,105,0.05,100,3,473.8037261
1e3,117,117,0.05,100,5,481.3462265
1e3,58,58,0.05,100,8,458.4019591
1e3,95,95,0.05,100,10,442.8048369
1e3,28,28,0.1,1,2,428.2920227
1e3,29,29,0.1,1,3,412.8644408
1e3,27,27,0.1,1,5,506.8573136
1e3,36,36,0.1,1,8,503.7173143
1e3,47,47,0.1,1,10,436.4611193
1e3,28,28,0.1,5,2,424.1409324
1e3,54,54,0.1,5,3,422.459308
1e3,30,30,0.1,5,5,488.48777
1e3,49,49,0.1,5,8,425.67992480000004
1e3,34,34,0.1,5,10,432.2983749
1e3,30,30,0.1,20,2,511.4671845
1e3,41,41,0.1,20,3,467.1905014
1e3,49,49,0.1,20,5,520.7851897
1e3,28,28,0.1,20,8,529.4600281
1e3,33,33,0.1,20,10,407.3014128
1e3,38,38,0.1,100,2,468.63394470000003
1e3,26,26,0.1,100,3,494.9043007
1e3,42,42,0.1,100,5,409.2241289
1e3,59,59,0.1,100,8,562.4634475
1e3,47,47,0.1,100,10,507.3563202
