number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
5,5,5,0.1,20,3,1073.4477051
5,5,5,0.1,20,5,1050.3971436
5,5,5,0.1,20,8,1041.9810425
5,5,5,0.1,20,10,1127.5636413
5,5,5,0.1,100,2,1016.2797912
5,5,5,0.1,100,3,1029.0258058
5,5,5,0.1,100,5,1005.4906494
5,5,5,0.1,100,8,1030.2015292
5,5,5,0.1,100,10,1107.1412047
10,10,10,0.001,1,2,1573.7633788
10,10,10,0.001,1,3,1568.1469908
10,10,10,0.001,1,5,1566.5429411
10,10,10,0.001,1,8,1595.9865477
10,10,10,0.001,1,10,1574.8475098
10,10,10,0.001,5,2,1552.7984344
10,10,10,0.001,5,3,1577.0940307
10,10,10,0.001,5,5,1553.0355347
10,10,10,0.001,5,8,1523.1708983
10,10,10,0.001,5,10,1532.98562
10,10,10,0.001,20,2,1479.2404419
10,10,10,0.001,20,3,1606.9596557
10,10,10,0.001,20,5,1544.6625336
10,10,10,0.001,20,8,1567.7754883
10,10,10,0.001,20,10,1519.7215939999999
10,10,10,0.001,100,2,1670.3607117000001
10,10,10,0.001,100,3,1539.1902923
10,10,10,0.001,100,5,1588.4467985000001
10,10,10,0.001,100,8,1527.0800689
10,10,10,0.001,100,10,1446.318753
10,10,10,0.003,1,2,1561.3351503000001
10,10,10,0.003,1,3,1579.4230805
10,10,10,0.003,1,5,1479.2420135
10,10,10,0.003,1,8,1574.4915589
10,10,10,0.003,1,10,1605.9997437
10,10,10,0.003,5,2,1524.1554077
10,10,10,0.003,5,3,1458.7291626
10,10,10,0.003,5,5,1516.4410461
10,10,10,0.003,5,8,1642.5714598
10,10,10,0.003,5,10,1642.8614807
10,10,10,0.003,20,2,1576.397525
10,10,10,0.003,20,3,1564.641223
10,10,10,0.003,20,5,1514.0964689
10,10,10,0.003,20,8,1632.9531127
10,10,10,0.003,20,10,1444.7340027
10,10,10,0.003,100,2,1569.2658143
10,10,10,0.003,100,3,1490.4451112
10,10,10,0.003,100,5,1547.6813720999999
10,10,10,0.003,100,8,1534.4585632
10,10,10,0.003,100,10,1491.6790037
10,10,10,0.005,1,2,1459.7783264
10,10,10,0.005,1,3,1538.1535705
10,10,10,0.005,1,5,1634.5714477
10,10,10,0.005,1,8,1414.9929139
10,10,10,0.005,1,10,1440.7410157
10,10,10,0.005,5,2,1591.0809752999999
10,10,10,0.005,5,3,1494.8126161
10,10,10,0.005,5,5,1645.1240479
10,10,10,0.005,5,8,1506.3775269
10,10,10,0.005,5,10,1490.2689392
10,10,10,0.005,20,2,1440.9922089
10,10,10,0.005,20,3,1486.0937744
10,10,10,0.005,20,5,1543.8845154
10,10,10,0.005,20,8,1519.0491334
10,10,10,0.005,20,10,1493.567633
10,10,10,0.005,100,2,1589.0106627
10,10,10,0.005,100,3,1543.6868226
10,10,10,0.005,100,5,1505.3784882
10,10,10,0.005,100,8,1441.208722
10,10,10,0.005,100,10,1459.3133546
10,10,10,0.01,1,2,1408.9161346
10,10,10,0.01,1,3,1499.0646332000001
10,10,10,0.01,1,5,1527.8853883
10,10,10,0.01,1,8,1524.5372925
10,10,10,0.01,1,10,1515.0184693
10,10,10,0.01,5,2,1396.5243561
10,10,10,0.01,5,3,1455.3570619
10,10,10,0.01,5,5,1485.849756
10,10,10,0.01,5,8,1446.5449462000001
10,10,10,0.01,5,10,1385.7631378
10,10,10,0.01,20,2,1427.5352904
10,10,10,0.01,20,3,1430.3962189
10,10,10,0.01,20,5,1427.7476502
10,10,10,0.01,20,8,1519.6102113
10,10,10,0.01,20,10,1395.9928803
10,10,10,0.01,100,2,1389.9394105
10,10,10,0.01,100,3,1426.9389559
10,10,10,0.01,100,5,1463.3657532
10,10,10,0.01,100,8,1526.2843748999999
10,10,10,0.01,100,10,1457.8278137
10,10,10,0.03,1,2,1262.3643859
10,10,10,0.03,1,3,1212.0602508
10,10,10,0.03,1,5,1327.4107787
10,10,10,0.03,1,8,1252.5700013
10,10,10,0.03,1,10,1326.4129392
10,10,10,0.03,5,2,1246.9984618
10,10,10,0.03,5,3,1249.4097474
10,10,10,0.03,5,5,1234.9957214
10,10,10,0.03,5,8,1284.0642579
10,10,10,0.03,5,10,1368.5998841
10,10,10,0.03,20,2,1256.6407837
10,10,10,0.03,20,3,1212.6868377
10,10,10,0.03,20,5,1300.4569030999999
10,10,10,0.03,20,8,1270.2874023
10,10,10,0.03,20,10,1200.3311340999999
10,10,10,0.03,100,2,1229.1128663
10,10,10,0.03,100,3,1250.4637359
10,10,10,0.03,100,5,1241.0774810999999
10,10,10,0.03,100,8,1249.8531799
10,10,10,0.03,100,10,1257.3004822
10,10,10,0.05,1,2,941.9835237
10,10,10,0.05,1,3,1021.9617800000001
10,10,10,0.05,1,5,1088.6538544
10,10,10,0.05,1,8,1017.976706
10,10,10,0.05,1,10,1094.070221
10,10,10,0.05,5,2,1118.4342896
10,10,10,0.05,5,3,1117.577301
10,10,10,0.05,5,5,1001.9089875
10,10,10,0.05,5,8,1086.3542083
10,10,10,0.05,5,10,1168.647882
10,10,10,0.05,20,2,1119.2757079
10,10,10,0.05,20,3,1017.0504639000001
10,10,10,0.05,20,5,1026.0100739
10,10,10,0.05,20,8,1077.3151123
10,10,10,0.05,20,10,1194.0777283
10,10,10,0.05,100,2,1072.2944916
10,10,10,0.05,100,3,1087.4217713
10,10,10,0.05,100,5,1155.2130493
10,10,10,0.05,100,8,1091.2547577
10,10,10,0.05,100,10,1129.1005379
10,10,10,0.1,1,2,754.5978087999999
10,10,10,0.1,1,3,798.359343
10,10,10,0.1,1,5,666.8836381
10,10,10,0.1,1,8,812.1748901
10,10,10,0.1,1,10,782.1220581
10,10,10,0.1,5,2,771.3309325
10,10,10,0.1,5,3,764.7751954
10,10,10,0.1,5,5,777.2143861
10,10,10,0.1,5,8,755.9724364
10,10,10,0.1,5,10,836.0377061
10,10,10,0.1,20,2,798.3142609
10,10,10,0.1,20,3,766.533307
10,10,10,0.1,20,5,799.0563614
10,10,10,0.1,20,8,771.2451202999999
10,10,10,0.1,20,10,797.0989334
10,10,10,0.1,100,2,722.3821472
10,10,10,0.1,100,3,825.4271758
10,10,10,0.1,100,5,782.5361268
10,10,10,0.1,100,8,743.8128722
10,10,10,0.1,100,10,763.0560303
50,50,50,0.001,1,2,1511.2360901
50,50,50,0.001,1,3,1621.7934326
50,50,50,0.001,1,5,1521.4463715
50,50,50,0.001,1,8,1520.9292358999999
50,50,50,0.001,1,10,1365.4076659
50,50,50,0.001,5,2,1454.0504944
50,50,50,0.001,5,3,1442.4584869
50,50,50,0.001,5,5,1565.5856628
50,50,50,0.001,5,8,1576.4896027
50,50,50,0.001,5,10,1501.0989256999999
50,50,50,0.001,20,2,1353.7755096
50,50,50,0.001,20,3,1500.4434417
50,50,50,0.001,20,5,1399.6028136
50,50,50,0.001,20,8,1453.232321
50,50,50,0.001,20,10,1412.4041322
50,50,50,0.001,100,2,1410.7787689
50,50,50,0.001,100,3,1457.6837068
50,50,50,0.001,100,5,1533.4900939
50,50,50,0.001,100,8,1553.3463928
50,50,50,0.001,100,10,1570.7386474999998
50,50,50,0.003,1,2,1416.51344
50,50,50,0.003,1,3,1532.0792114
50,50,50,0.003,1,5,1401.7572813
50,50,50,0.003,1,8,1349.3444794
50,50,50,0.003,1,10,1471.4542541
50,50,50,0.003,5,2,1414.1345611
50,50,50,0.003,5,3,1452.4634582
50,50,50,0.003,5,5,1526.8684815
50,50,50,0.003,5,8,1386.072586
50,50,50,0.003,5,10,1308.8453124
50,50,50,0.003,20,2,1475.7669494
50,50,50,0.003,20,3,1381.5104247
50,50,50,0.003,20,5,1452.8840697
50,50,50,0.003,20,8,1456.9280516000001
50,50,50,0.003,20,10,1445.6671051
50,50,50,0.003,100,2,1388.2727294000001
50,50,50,0.003,100,3,1305.2075042000001
50,50,50,0.003,100,5,1401.2290985
50,50,50,0.003,100,8,1367.4217314
50,50,50,0.003,100,10,1362.9531739
50,50,50,0.005,1,2,1262.7060609
50,50,50,0.005,1,3,1270.2639465
50,50,50,0.005,1,5,1227.9169068
50,50,50,0.005,1,8,1329.6947617
50,50,50,0.005,1,10,1272.417534
50,50,50,0.005,5,2,1227.4634948
50,50,50,0.005,5,3,1308.4381836
50,50,50,0.005,5,5,1396.7109864
50,50,50,0.005,5,8,1317.8659286
50,50,50,0.005,5,10,1258.7919248
50,50,50,0.005,20,2,1316.4581848
50,50,50,0.005,20,3,1247.7813079999999
50,50,50,0.005,20,5,1320.115033
50,50,50,0.005,20,8,1219.7401338
50,50,50,0.005,20,10,1346.8577454
50,50,50,0.005,100,2,1321.2846619
50,50,50,0.005,100,3,1276.9754394
50,50,50,0.005,100,5,1320.791539
50,50,50,0.005,100,8,1393.2618042000001
50,50,50,0.005,100,10,1321.0379762
50,50,50,0.01,1,2,1063.2858184
50,50,50,0.01,1,3,1060.3856813
50,50,50,0.01,1,5,1041.6212158
50,50,50,0.01,1,8,1072.1121491000001
50,50,50,0.01,1,10,1135.5284729
50,50,50,0.01,5,2,1079.1397583
50,50,50,0.01,5,3,1114.1794923
50,50,50,0.01,5,5,1107.1253234
50,50,50,0.01,5,8,1063.4252045
50,50,50,0.01,5,10,1098.1683472
50,50,50,0.01,20,2,1181.8914155
50,50,50,0.01,20,3,1225.5824035
50,50,50,0.01,20,5,1069.955414
50,50,50,0.01,20,8,1017.2419953
50,50,50,0.01,20,10,1053.1558106
50,50,50,0.01,100,2,1059.5008513
50,50,50,0.01,100,3,1089.5048554
50,50,50,0.01,100,5,1179.2612855
50,50,50,0.01,100,8,1053.5713288
50,50,50,0.01,100,10,1128.2145447
50,50,50,0.03,1,2,608.5107115
50,50,50,0.03,1,3,688.6444275
50,50,50,0.03,1,5,626.5425841
50,50,50,0.03,1,8,708.1157472
50,50,50,0.03,1,10,630.9932114
50,50,50,0.03,5,2,559.2847304
50,50,50,0.03,5,3,612.3238113
50,50,50,0.03,5,5,651.6738343
50,50,50,0.03,5,8,644.958722
50,50,50,0.03,5,10,629.7306763
50,50,50,0.03,20,2,661.2426796
50,50,50,0.03,20,3,626.3901031
50,50,50,0.03,20,5,617.4786728
50,50,50,0.03,20,8,642.62829609999994
